structure,view,series,paths,placement,weight_bps,date,amount_cents
inst_90_2000000,event_adjusted,contractual,,,,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,stress,265,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,stress,265,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,stress,265,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,central,265,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,central,265,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p1,central,265,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,stress,4902,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,stress,4902,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,stress,4902,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,central,4902,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,central,4902,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p2,central,4902,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,stress,1255,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,stress,1255,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,stress,1255,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,central,1255,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,central,1255,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p3,central,1255,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,stress,93,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,stress,93,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,stress,93,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,central,93,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,central,93,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p4,central,93,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,stress,2606,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,stress,2606,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,stress,2606,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,central,2606,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,central,2606,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p1+dispute_003_p5,central,2606,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,stress,3,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,stress,3,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,stress,3,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,central,3,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,central,3,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p1,central,3,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,stress,54,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,stress,54,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,stress,54,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,central,54,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,central,54,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,central,54,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,stress,14,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,stress,14,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,stress,14,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,central,14,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,central,14,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,central,14,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,stress,1,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,stress,1,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,stress,1,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,central,1,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,central,1,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,central,1,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p5,stress,29,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p5,stress,29,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p5,stress,29,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p5,central,29,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p5,central,29,2024-10-21,69133333
