date,view,contractual_cumulative_cents,collected_expected_cumulative_cents,collected_p5_cents,collected_p50_cents,collected_p95_cents,outstanding_principal_expected_cents
2025-01-08,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-09,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-10,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-11,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-12,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-13,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-14,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-15,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-16,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-17,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-18,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-19,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-20,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-21,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-22,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-23,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-24,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-25,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-26,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-27,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-28,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-29,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-30,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-31,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-01,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-02,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-03,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-04,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-05,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-06,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-07,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-08,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-09,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-10,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-11,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-12,bank_only,207400000,207400000,207400000,207400000,207400000,0
