date,view,available_cash_expected_cents,available_cash_p5_cents,available_cash_p50_cents,available_cash_p95_cents,cash_locked_expected_cents,credit_capacity_committed_expected_cents
2025-02-08,bank_only,2578249305,2495378285,2583094542,2640617208,0,0
2025-02-09,bank_only,2578249305,2495378285,2583094542,2640617208,0,0
2025-02-10,bank_only,2588267807,2504088008,2592008086,2657617249,0,0
2025-02-11,bank_only,2599895026,2513157383,2603894027,2666036835,0,0
2025-02-12,bank_only,2595448964,2507620621,2601098560,2667977480,0,0
2025-02-13,bank_only,2571953631,2477039560,2575417365,2652602923,0,0
2025-02-14,bank_only,2548592783,2454889515,2550990608,2625150209,0,0
2025-02-15,bank_only,2548592783,2454889515,2550990608,2625150209,0,0
2024-08-20,event_adjusted,2741657375,2649988329,2772245160,2776124745,0,0
2024-08-21,event_adjusted,2754729597,2665362839,2787013689,2793973153,0,0
2024-08-22,event_adjusted,2760480935,2670388890,2768526696,2809143004,0,0
2024-08-23,event_adjusted,2756318431,2688534543,2776946475,2781649623,0,0
2024-08-24,event_adjusted,2753215263,2688534543,2776946475,2781649623,186180,6357
2024-08-25,event_adjusted,2752210400,2688534543,2776946475,2781649623,186180,6357
2024-08-26,event_adjusted,2761859860,2701945411,2791797164,2811644856,443679,12715
2024-08-27,event_adjusted,2765155271,2684085855,2798743682,2825867120,443679,12715
2024-08-28,event_adjusted,2768626161,2698406319,2798455765,2867353333,671434,19072
2024-08-29,event_adjusted,2778671508,2712524405,2798743682,2922174470,671434,19072
2024-08-30,event_adjusted,2779524085,2712524405,2798743682,2950764096,970608,25429
2024-08-31,event_adjusted,2778226432,2712524405,2798743682,2967707998,1248437,31786
2024-09-01,event_adjusted,2776625063,2712524405,2798743682,2977374376,1533506,38144
2024-09-02,event_adjusted,2775199997,2712524405,2798743682,2982145124,1533506,38144
2024-09-03,event_adjusted,2784722384,2694410993,2812643837,2997048810,1700889,44501
2024-09-04,event_adjusted,2800269595,2712819585,2825736623,3019327595,2656853,69930
2024-09-05,event_adjusted,2801229335,2717845245,2826479513,3023869504,3431789,89002
2024-09-06,event_adjusted,2808500465,2330908108,2839621259,3035510653,3848145,101716
2024-09-07,event_adjusted,2807756710,2250286298,2839621259,3036781810,3848145,101716
2024-09-08,event_adjusted,2806755862,2217367999,2839621259,3042096167,4421574,114431
2024-09-09,event_adjusted,2808711338,2188981357,2839455032,3049407728,4634197,120788
2024-09-10,event_adjusted,2817390337,2189612808,2853830596,3061540808,5305389,139860
2024-09-11,event_adjusted,2827219080,2177124857,2862478018,3073147348,6009524,158931
2024-09-12,event_adjusted,2826525970,2161999263,2858852913,3081261064,6623630,176477
2024-09-13,event_adjusted,2803300007,2125861616,2833534139,3072469455,7273182,195549
2024-09-14,event_adjusted,2803524020,2117282159,2841611356,3077423690,7995367,214621
2024-09-15,event_adjusted,2804366600,2114643795,2841611356,3083038308,8224025,220978
2024-09-16,event_adjusted,2781052016,2078511651,2814243456,3058359771,8916453,240050
2024-09-17,event_adjusted,2774386154,2069567850,2808336121,3059223285,9981367,271836
2024-09-18,event_adjusted,2754119174,2040348244,2797974790,3050790690,11071441,297265
2024-09-19,event_adjusted,2730944795,2008202499,2765303755,3020729908,11339313,303622
2024-09-20,event_adjusted,2639946820,1902252167,2683334547,2934339747,12523758,335409
2024-09-21,event_adjusted,2638436619,1886911397,2684144013,2934992617,13893607,373552
2024-09-22,event_adjusted,2636578037,1873434842,2684144013,2935232944,14408551,384741
2024-09-23,event_adjusted,2651051925,1885648964,2700165843,2953172961,15097859,403813
2024-09-24,event_adjusted,2659618523,1887415967,2705389203,2967497908,15646968,421359
2024-09-25,event_adjusted,2660363387,1892816894,2699861258,2960536516,16386059,440430
2024-09-26,event_adjusted,2667167184,1891587584,2715960717,2977953074,17181648,465859
2024-09-27,event_adjusted,2673057966,1899438761,2716723697,2981341637,17385974,472217
2024-09-28,event_adjusted,2672788134,1898923627,2716723697,2981467613,17793681,483405
2024-09-29,event_adjusted,2675561444,1902380933,2723525322,2985447292,17793681,483405
2024-09-30,event_adjusted,2695603483,1924768912,2736888829,2998461576,17682940,480354
2024-10-01,event_adjusted,2705790753,1934859876,2750788984,3012206414,18124372,493068
2024-10-02,event_adjusted,2722297081,1953547849,2768231630,3025514158,18910173,518497
2024-10-03,event_adjusted,2724544047,1956001667,2768715297,3028510987,19573849,536043
2024-10-04,event_adjusted,2733673934,1964433305,2781661950,3038929257,19728202,540875
2024-10-05,event_adjusted,2734493929,1966630050,2781840068,3039438554,19677109,539349
2024-10-06,event_adjusted,2734383367,1967438737,2782194225,3039578200,19951128,549012
2024-10-07,event_adjusted,2740246603,1974999988,2791880044,3045076191,20169799,555370
2024-10-08,event_adjusted,2750507060,1979138035,2806394771,3057435089,20865523,574441
2024-10-09,event_adjusted,2759242847,1985067559,2817987897,3065904420,21731111,596819
2024-10-10,event_adjusted,2754020618,1978697636,2815889458,3061142620,22512107,615891
2024-10-11,event_adjusted,2733563900,1957488045,2808828910,3053104699,22910274,628605
2024-10-12,event_adjusted,2732781434,1958687042,2811262270,3053497337,23643858,647677
2024-10-13,event_adjusted,2729640353,1955860329,2811084152,3053497337,24158518,665223
2024-10-14,event_adjusted,2726370936,1950661160,2809547338,3053492185,24813768,681243
2024-10-15,event_adjusted,2696486597,1919119900,2783650259,3026127785,26558036,725744
2024-10-16,event_adjusted,2685054474,1907116047,2783750030,3032312126,26766664,732101
2024-10-17,event_adjusted,2664387502,1886451361,2773447679,3020645987,27869016,762362
2024-10-18,event_adjusted,2635200314,1854064010,2736081171,2985830884,28876780,787791
2024-10-19,event_adjusted,2632751045,1852629746,2734293722,2985830884,29005627,792622
2024-10-20,event_adjusted,2630102825,1851769100,2734293722,2985770668,29443886,803811
2024-10-21,event_adjusted,2535492860,1757133420,2622289171,2872943273,30235017,822883
2024-10-22,event_adjusted,2545061763,1768171866,2637806447,2888230262,30611085,834071
2024-10-23,event_adjusted,2546383334,1763172913,2644617890,2896662883,30878350,840429
2024-10-24,event_adjusted,2543776775,1760111673,2644023941,2897672839,32707902,891287
2024-10-25,event_adjusted,2547638472,1762947269,2656614761,2910633827,34088046,923073
